sample_id,status,converged,transfer_ready,output_ready,note
000749,fail,0,0,0,stable fail
000750,valid,1,1,1,
000751,valid,1,1,1,
000752,valid,1,1,1,
000753,valid,1,1,1,
000754,valid,1,1,1,
000755,valid,1,1,1,
000756,valid,1,1,1,
000757,valid,1,1,1,
000758,valid,1,1,1,
000759,valid,1,1,1,
000760,valid,1,1,1,
000761,valid,1,1,1,
000762,valid,1,1,1,
000763,valid,1,1,1,
000764,valid,1,1,1,
000765,fail,0,0,0,stable fail
000766,valid,1,1,1,
000767,valid,1,1,1,
000768,valid,1,1,1,
000769,valid,1,1,1,
000770,valid,1,1,1,
000771,valid,1,1,1,
000772,valid,1,1,1,
000773,valid,1,1,1,
000774,valid,1,1,1,
000775,valid,1,1,1,
000776,valid,1,1,1,
000777,valid,1,1,1,
000778,valid,1,1,1,
000779,valid,1,1,1,
000780,valid,1,1,1,
000781,valid,1,1,1,
000782,valid,1,1,1,
000783,valid,1,1,1,
000784,valid,1,1,1,
000785,valid,1,1,1,
000786,valid,1,1,1,
000787,valid,1,1,1,
000788,valid,1,1,1,
000789,valid,1,1,1,
000790,valid,1,1,1,
000791,valid,1,1,1,
000792,valid,1,1,1,
000793,valid,1,1,1,
000794,valid,1,1,1,
000795,valid,1,1,1,
000796,valid,1,1,1,
000797,valid,1,1,1,
000798,valid,1,1,1,
000799,valid,1,1,1,
000800,valid,1,1,1,
000801,valid,1,1,1,
000802,valid,1,1,1,
000803,valid,1,1,1,
000804,valid,1,1,1,
000805,valid,1,1,1,
000806,valid,1,1,1,
000807,valid,1,1,1,
000808,valid,1,1,1,
000809,valid,1,1,1,
000810,valid,1,1,1,
000811,valid,1,1,1,
000812,valid,1,1,1,
000813,valid,1,1,1,
000814,valid,1,1,1,
000815,valid,1,1,1,
000816,valid,1,1,1,
000817,fail,0,0,0,stable fail
000818,valid,1,1,1,
000819,valid,1,1,1,
000820,valid,1,1,1,
000821,valid,1,1,1,
000822,valid,1,1,1,
000823,valid,1,1,1,
000824,valid,1,1,1,
000825,valid,1,1,1,
000826,valid,1,1,1,
000827,valid,1,1,1,
000828,valid,1,1,1,
